Ticker,Nombre,Índice,Precio,Market Cap (B),PER (Trailing),PER (Forward),PEG,EV/EBITDA,EV/Sales,P/S,P/B,P/FCF,Crec. Ventas YoY (%),Crec. EPS YoY (%),ROIC Aprox. (%),ROE (%),ROA (%),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),Debt/Equity,Current Ratio,Payout Ratio (%)
MAGN,Magnera Corporation,Russell 2000,12.34,0.439304,,7.5787354,4.23,6.413,0.646,0.13377102,0.43438467,1.910017391304348,2.1,,5.059933587446711,-10.427999999999999,2.2650002,11.9370006,5.251,-3.4099999999999997,1.92822,2.446,0.0
CRML,Critical Metals Corp.,Russell 2000,7.11,1.044379072,,-37.421055,,-15.139,1020.326,1358.8547,5.994941,20.043838465073353,57.8,,-28.663751105230624,-140.977,-15.654000000000002,100.0,-4516.065,0.0,0.01651,0.747,0.0
PDLB,"Ponce Financial Group, Inc.",Russell 2000,20.42,0.493916928,14.380282,11.536723,0.288418075,,10.8,4.3416305,1.5133773,,18.4,40.0,4.276705519180452,6.239999999999999,1.016,0.0,39.786,29.677,,,0.0
OFIX,Orthofix Medical Inc.,Russell 2000,10.01,0.407733408,,27.054054,48.83,27.037,0.679,0.48563075,0.9499858,99.35327172489416,3.8,,-3.648109038606051,-13.908999999999999,-2.7449999,71.26,-3.2550000000000003,-7.4079999999999995,0.61023,2.841,0.0
KREF,KKR Real Estate Finance Trust I,Russell 2000,7.58,0.487397152,,26.137932,,,-69.761,-6.729867,0.72369677,,,,-1.584352307219133,-16.524,-2.834,0.0,135.82699,0.0,4.3578399999999995,4.385,588.24
WTI,"W&T Offshore, Inc.",Russell 2000,3.92,0.59169632,,-39.102245,0.73,5.329,1.414,1.0530915,-2.629108,4.778912885457218,32.9,,,,0.34999999,43.345,13.915,-19.323,,1.171,9.090000400000001
SVV,"Savers Value Village, Inc.",Russell 2000,10.75,1.647271552,71.666664,17.62035,1.0551107784431137,12.728,1.716,0.9450702,3.719723,43.910557716630755,7.3999999999999995,16.7,7.701543505464752,5.718,4.561,55.711999999999996,9.961,1.424,3.2345699999999997,0.841,0.0
FLGT,"Fulgent Genetics, Inc.",Russell 2000,19.9,0.547554304,,-14.42029,,-3.292,0.909,1.6903372,0.5466582,,4.3999999999999995,,-13.351938062298652,-8.1099994,-6.296,35.582,-39.351,-26.049,0.00964,6.338,0.0
NVCT,"Nuvectis Pharma, Inc.",Russell 2000,23.56,0.767620864,,-24.541666,,,,,69.29411,,,,,-214.57999999999998,-73.072,0.0,0.0,0.0,,1.683,0.0
AIOT,"PowerFleet, Inc.",Russell 2000,3.04,0.408046784,,11.471699,0.8,7.799,1.49,0.9058668,0.83310497,15.83126059418617,6.4,,0.7957999884518973,-3.7830000000000004,1.9929999999999999,55.745,1.683,-4.164000000000001,0.60466,1.098,0.0
TTAM,Titan America SA,Russell 2000,15.17,2.796943616,15.639174,12.010038,,9.251,1.931,1.6341516,2.5694447,26.158118304340665,9.6,-17.1,11.286870497016903,17.438000000000002,8.186,26.525,13.33,10.354,0.52738,2.083,16.669999999999998
VITL,"Vital Farms, Inc.",Russell 2000,10.57,0.453786144,,40.34351,,34.417,0.706,0.5926639,1.4048377,,-10.100000000000001,,-35.670978018712404,0.053,0.044000000000000004,28.122000000000003,-24.180001,0.02,0.38162,1.104,0.0
TITN,Titan Machinery Inc.,Russell 2000,20.18,0.470237984,,-60.540604,1.77,36.398,0.547,0.19966355,0.80972636,2.3964146743071773,-12.1,,-1.2883645809124669,-9.1450006,-0.08499999999999999,16.173000000000002,-0.976,-2.2750000999999997,1.51518,1.376,0.0
IIIV,"i3 Verticals, Inc.",Russell 2000,16.68,0.44037584,57.517242,13.672132,1.24,23.321,1.831,1.502861,1.0795418,,2.1999999999999997,-66.10000000000001,0.6035831757266407,,,19.082001,1.0290001,-2.0130001,0.29694,0.502,0.0
BELFA,Bel Fuse Inc.,Russell 2000,214.31,2.726603264,56.249344,26.755304,1.78,19.688,3.931,4.1587734,3.4029343,49.24144257135594,25.2,-11.700000000000001,,10.41,6.8709999999999996,39.521998,18.247999,7.210999999999999,0.03386,4.481,6.15
NEWT,"NewtekOne, Inc.",Russell 2000,12.53,0.361925696,5.669683,5.291385,3.2,2.53,1.462,0.8900593,0.9915328,,14.7,-9.6,30.424506749003733,18.043,5.185,86.289,52.052,16.097,1.34706,18.23,42.990002
GENB,"Generate Biomedicines, Inc.",Russell 2000,16.12,2.06904128,,-7.070176,,-6.709,63.22,78.12715,4.5344586,,-37.7,,,,,0.0,-1134.2098999999998,0.0,0.13733,8.303,0.0
AVIR,"Atea Pharmaceuticals, Inc.",Russell 2000,5.43,0.435511488,,-3.6689188,,-1.184,,,2.1335952,,,,,-58.142,-36.720002,0.0,0.0,0.0,0.00208,8.131,0.0
IBEX,IBEX Limited,Russell 2000,36.56,0.489506112,11.283951,10.085518,0.4605259360730594,6.865,0.854,0.78077996,3.0550683,15.468549371548653,16.8,21.9,23.645050260053914,33.113,12.982,29.868,9.827,7.5249999999999995,0.37955,1.951,0.0
FSTR,L.B. Foster Company,Russell 2000,38.08,0.400592608,35.588783,18.804937,0.78,11.467,0.835,0.717454,2.2195024,8.700733047027743,-3.5000000000000004,7.3999999999999995,11.321510437621496,6.3839999999999995,5.312,21.905,6.289,2.0380002,0.39305999999999996,2.003,0.0
FVR,"FrontView REIT, Inc.",Russell 2000,19.79,0.598109632,659.6667,446.32388,,18.068,13.029,8.698511,1.0702505,8.525636708414293,1.5,,1.4911862943119243,0.43,1.0739999999999998,86.542,21.214001,2.1189999,0.62257,1.039,2866.6698
MVBF,MVB Financial Corp.,Russell 2000,30.5,0.39550896,10.166667,12.135295,0.023337105769230766,,0.784,2.2663064,1.1461426,,46.2,520.0,58.6523979429828,11.995000000000001,1.1460001,0.0,36.725,22.266,,,22.97
CZFS,"Citizens Financial Services, In",Russell 2000,81.7,0.392965152,9.369266,9.273552,0.45236839024390246,,6.461,3.424324,1.11361,,10.0,20.5,5.757815235497129,12.318999999999999,1.33299995,0.0,44.542998,35.772,,,23.51
TECX,"Tectonic Therapeutic, Inc.",Russell 2000,37.63,0.735642688,,-8.040599,,-5.477,,,3.0753515,,,,,-33.800000000000004,-22.288999,0.0,0.0,0.0,0.01965,22.287,0.0
ENTA,"Enanta Pharmaceuticals, Inc.",Russell 2000,13.47,0.392319168,,-5.7910576,,-7.151,5.897,6.0118175,3.880726,,-21.6,,-66.09451216447636,-70.12,-12.2779995,100.0,-120.03600999999999,-96.892,1.80116,3.759,0.0
NPCE,"Neuropace, Inc.",Russell 2000,14.03,0.481569536,,-63.147,,-42.081,4.671,4.500944,40.432274,,17.1,,-63.180538292760644,-103.273,-7.470000000000001,77.38200400000001,-22.531000000000002,-17.864999,5.8849599999999995,4.944,0.0
TSBK,"Timberland Bancorp, Inc.",Russell 2000,46.55,0.361957344,11.6375,,2.94,,1.424,4.2171917,1.3451425,,6.1,9.0,109.16256918628946,11.895,1.569,0.0,47.271,36.716998000000004,,,28.07
RZLT,"Rezolute, Inc.",Russell 2000,5.09,0.490127968,,-8.127745,,-4.323,,,4.552773,,,,,-81.728995,-48.736998,0.0,0.0,0.0,0.00951,15.842,0.0
NPB,"Northpointe Bancshares, Inc.",Russell 2000,17.21,0.595153408,7.418103,6.2733974,0.35644303409090916,,6.559,2.3135395,0.973031,,9.8,17.599999999999998,5.374588531533288,14.757000000000001,1.2850000000000001,0.0,45.061,34.876000000000005,,,4.31
IBTA,"Ibotta, Inc.",Russell 2000,37.71,0.87585344,,20.022724,,-103.343,2.187,2.5522137,3.6304996,17.205604685296514,3.3000000000000003,,-6.63587393269411,-3.6999999999999997,-1.199,78.239995,-2.111,-3.211,0.10404,1.713,0.0
CAPR,"Capricor Therapeutics, Inc.",Russell 2000,6.29,0.36569424,,-4.1200786,0.38,-1.644,,,1.4845409,,,,,-73.7,-33.635,0.0,0.0,0.0,0.36977,7.346,0.0
HY,"Hyster-Yale, Inc.",Russell 2000,34.71,0.621860928,,16.849514,,-78.387,0.304,0.17729141,1.5945424,9.563412964244522,-15.0,,-8.082641495897585,-23.607999,-1.836,15.363,-2.153,-3.3299996999999997,1.2195099999999999,1.277,1014.2899500000001
RMR,The RMR Group Inc.,Russell 2000,20.0,0.341604512,17.24138,25.974026,0.09,6.688,2.864,1.5317076,1.5248551,3.6662974945609434,8.4,-26.6,10.887774252559268,10.86,6.328,96.996003,20.624000000000002,8.882,0.46013,1.395,156.52000999999998
NECB,"NorthEast Community Bancorp, In",Russell 2000,26.37,0.363010976,8.451923,7.386555,,,4.335,3.5211308,0.8981914,,-5.800000000000001,-12.2,8.761353848117322,12.134,2.0750001,0.0,56.536995999999995,41.149,,,27.33
TWI,"Titan International, Inc. (DE)",Russell 2000,7.15,0.461477824,,24.655174,11.7,10.616,0.539,0.24721001,0.9291748,14.771189962150007,5.2,,4.2848409011659285,-13.894,0.9339999999999999,13.425,3.0030001,-4.111,1.40548,2.113,0.0
MRAM,"Everspin Technologies, Inc.",Russell 2000,17.11,0.41662864,,35.400246,,-43.721,6.012,6.6691527,5.680611,,41.9,,-35.76583132412683,-3.842,-7.2139999999999995,52.282,-23.392999,-4.2179998,0.03875,4.736,0.0
ORN,"Orion Group Holdings, Inc.",Russell 2000,9.27,0.375391328,115.87501,20.596798,28.96,16.243,0.597,0.41872987,2.282689,,8.1,,-1.4443116497482835,2.2689999999999997,1.0699999999999998,11.78,-0.662,0.402,0.98929,1.52,0.0
FTK,"Flotek Industries, Inc.",Russell 2000,24.67,0.893557952,24.67,30.45679,4.32,23.186,3.226,3.050019,6.906495,,70.3,420.0,19.03355325611349,37.796003,10.863,24.679000000000002,14.981,12.97,0.44259,1.78,0.0
SWIM,"Latham Group, Inc.",Russell 2000,7.03,0.827052032,140.6,25.023138,,12.484,1.903,1.4342557,2.0804973,16.034510454734924,14.399999999999999,-16.5,9.630870697908838,1.3150001,2.5940001,33.379,14.123,0.92400005,0.7631399999999999,2.158,0.0
CRNC,Cerence Inc.,Russell 2000,8.06,0.364555872,,10.267516,,9.704,1.37,1.1779093,2.1896224,5.153079285268744,11.799999999999999,,4.8740419693964565,-9.561,3.6609999999999996,78.69500000000001,4.504,-4.974,1.12442,2.082,0.0
NGVC,Natural Grocers by Vitamin Cott,Russell 2000,27.62,0.636526464,13.342996,11.956711,1.44,9.844,0.701,0.47366413,2.756212,40.951295654131954,1.7999999999999998,-4.0,7.692603029337248,21.561000999999997,5.688,33.470002,3.8850000000000002,3.5450000000000004,1.34778,1.1,27.800000000000004
CABA,"Cabaletta Bio, Inc.",Russell 2000,3.13,0.530677248,,-2.1181567,,-1.799,,,2.4920382,,,,,-93.205,-48.187999999999995,0.0,0.0,0.0,0.12210000000000001,5.789,0.0
IHRT,"iHeartMedia, Inc.",Russell 2000,2.79,0.43186176,,-7.1538463,11.3,10.925,1.514,0.10835345,-0.21987548,2.258506563940337,4.7,,2.9379508787088033,,2.625,58.814,3.633,-7.17,,1.413,0.0
LXEO,"Lexeo Therapeutics, Inc.",Russell 2000,4.88,0.400385728,,-3.5657659,,-2.068,,,1.5616001,,,,,-46.756,-27.587998000000002,0.0,0.0,0.0,0.028980000000000002,13.887,0.0
